State,Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate
Alaska,1960,226167,104.3,10.2,20.8,28.3,45.1
New Mexico,1960,951023,143,7.4,12.3,39.5,83.8
Alabama,1960,3266740,186.6,12.4,8.6,27.5,138.1
Arizona,1960,1302161,207.7,6,16.1,54.2,131.4
Arkansas,1960,1786272,107.7,8.5,8.9,24.8,65.5
California,1960,15717204,239,3.9,18.2,97.3,119.6
Colorado,1960,1753947,137.3,4.2,13.1,77.7,42.4
Connecticut,1960,2535234,36.6,1.6,4.1,9.3,21.6
Delaware,1960,446292,84,7.4,9.2,35.2,32.3
District of Columbia,1960,763956,553.7,10.6,14.5,140.3,388.2
Florida,1960,4951560,223.4,10.6,8.1,80.9,123.7
Georgia,1960,3943116,158.8,11.9,7.5,24.7,114.8
Hawaii,1960,632772,21.8,2.4,3.3,10.9,5.2
Idaho,1960,667191,38.2,2.4,7.2,13.8,14.8
Illinois,1960,10081158,365.1,4.9,17.6,208.8,133.8
Indiana,1960,4662498,84.6,4.4,5.1,34.5,40.6
Iowa,1960,2757537,23.8,0.6,3.7,10.9,8.6
Kansas,1960,2178611,58.4,2.9,5,18.8,31.6
Kentucky,1960,3038156,97.3,6.7,5.4,32.9,52.3
Louisiana,1960,3257022,153.2,8.3,8.6,45.6,90.8
Maine,1960,969265,29.8,1.7,5,7.9,15.3
Maryland,1960,3100689,151.3,5.4,7.2,37.3,101.3
Massachusetts,1960,5148578,48.8,1.4,4.8,20.4,22.1
Michigan,1960,7823194,217.7,4.5,14.5,93.7,105
Minnesota,1960,3413864,42,1.2,2.4,27.8,10.6
Mississippi,1960,2178141,102.7,10,5.1,14.9,72.6
Missouri,1960,4319813,172.9,4.4,14.5,90.6,63.4
Montana,1960,674767,67.1,3.9,7.1,27.6,28.6
Nebraska,1960,1411330,41.8,2.3,4.2,17.9,17.4
Nevada,1960,285278,145.8,8.8,12.6,74,50.5
New Hampshire,1960,606921,13.3,1.3,4.1,3,4.9
New Jersey,1960,6066782,114.3,2.7,7.3,42.7,61.6
North Carolina,1960,4556155,223.5,10.6,7.8,18.1,187
North Dakota,1960,632446,14.2,0.5,2.2,6.3,5.2
Ohio,1960,9706397,83.7,3.2,5.9,40.1,34.5
Oklahoma,1960,2328284,97,7.5,12.8,39.9,36.8
Oregon,1960,1768687,69.7,2.4,9.4,31.8,26
Pennsylvania,1960,11319366,99,2.6,8.8,33.9,53.6
Rhode Island,1960,859488,36.8,1,2.3,14.2,19.2
South Carolina,1960,2382594,143.7,13.2,9.9,20.1,100.6
South Dakota,1960,680514,41.4,2.1,5.4,9.1,24.8
Tennessee,1960,3567089,91.1,8.5,5.4,26.9,50.3
Texas,1960,9579677,161,8.6,9.3,31.6,111.5
Utah,1960,890627,54.3,1,6.8,20.8,25.7
Vermont,1960,389881,9.5,0.3,2.3,2.3,4.6
Virginia,1960,3966949,183.7,12.3,8,26.3,137.1
Washington,1960,2853214,56.6,2.1,5.8,31.1,17.6
West Virginia,1960,1860421,64.5,4.4,4.2,12.8,43.2
Wisconsin,1960,3951777,31.9,1.3,2.8,8.3,19.6
Wyoming,1960,330066,109.7,4.8,7,53.3,44.5
Alaska,1961,234000,88.9,11.5,13.2,12.4,51.7
New Mexico,1961,983000,130,6.8,12.9,38.8,71.5
Alabama,1961,3302000,168.5,12.9,7.6,19.1,128.9
Arizona,1961,1391000,164.5,6,14.4,56.5,87.6
Arkansas,1961,1797000,100.7,9.1,7.2,24.8,59.5
California,1961,16397000,232.7,3.7,18.5,90.5,120
Colorado,1961,1781000,149.3,4.7,12.9,91.7,40
Connecticut,1961,2614000,33.6,1,2.4,9.1,21.1
Delaware,1961,458000,69.4,4.4,5.9,27.1,32.1
District of Columbia,1961,763956,587.9,11.5,13.1,176.4,386.8
Florida,1961,5222000,217.8,9.1,7.6,71.7,129.4
Georgia,1961,3987000,157.2,10,9.5,28.3,109.4
Hawaii,1961,657000,24.5,2.3,3.8,10.7,7.8
Idaho,1961,684000,32.5,2,6.4,9.4,14.6
Illinois,1961,10258000,362.2,4.8,17.2,204.5,135.7
Indiana,1961,4711000,85.8,4.1,5.3,38.8,37.6
Iowa,1961,2779000,23.1,1.3,2.9,10.5,8.5
Kansas,1961,2194000,58.4,1.9,5.4,21,30.2
Kentucky,1961,3076000,94.5,6.5,4.7,35.3,48
Louisiana,1961,3321000,135.7,6.4,8,44.4,76.9
Maine,1961,992000,33.7,1.6,5.8,8.8,17.4
Maryland,1961,3188000,155.6,4.5,8.2,41.7,101.1
Massachusetts,1961,5234000,53.1,Massachusetts,5.6,20.4,25.7
Michigan,1961,7954000,207.4,4.1,13.7,81,108.6
Minnesota,1961,3470000,43.4,1,2.7,27.4,12.3
Mississippi,1961,2215000,102.7,10.3,5.8,15.6,70.9
Missouri,1961,4378000,166,5.1,13.2,83.1,64.6
Montana,1961,682000,67,2.5,7,25.4,32.1
Nebraska,1961,1431000,41,2.4,3.3,16.4,18.9
Nevada,1961,299000,183.6,7,8,106,62.5
New Hampshire,1961,621000,14.3,0.6,3.1,3.4,7.2
New Jersey,1961,6244000,107,2.5,7.3,38,59.3
North Carolina,1961,4614000,201,9.2,7.3,15,169.5
