"state_name","state_abbrv","year","population","category","unemp_rate","crime_rate","murder_rate","rape_rate","robbery_rate","assault_rate"
"Alabama","AL",1976,3665000,"1M-5M populations",6.8,388.8,15.1,21.7,96.0,256.0
"Alaska","AK",1976,382000,"1M- populations",7.6,540.1,11.3,46.9,124.9,357.1
"Arizona","AZ",1976,2270000,"1M-5M populations",9.7,455.3,7.8,29.7,129.9,287.9
"Arkansas","AR",1976,2109000,"1M-5M populations",7.0,303.9,10.1,24.2,76.7,192.9
"California","CA",1976,21520000,"10M + populations",9.1,669.3,10.3,44.7,275.6,338.7
"Colorado","CO",1976,2583000,"1M-5M populations",5.8,417.0,6.8,33.8,139.7,236.7
"Connecticut","CT",1976,3117000,"1M-5M populations",9.3,273.2,3.1,14.4,122.9,132.8
"Delaware","DE",1976,582000,"1M- populations",8.8,321.6,6.2,17.7,128.7,169.1
"District of Columbia","DC",1976,702000,"1M- populations",9.0,1481.3,26.8,72.4,1003.4,378.8
"Florida","FL",1976,8421000,"5M+ populations",9.2,648.3,10.7,36.3,186.4,415.0
"Georgia","GA",1976,4970000,"1M-5M populations",8.2,423.1,13.9,24.9,142.4,241.9
"Hawaii","HI",1976,887000,"1M- populations",9.4,229.3,6.2,23.6,133.0,66.5
"Idaho","ID",1976,831000,"1M- populations",5.6,226.7,5.3,18.7,40.0,162.8
"Illinois","IL",1976,11229000,"10M + populations",6.6,625.8,10.3,24.6,287.1,303.7
"Indiana","IN",1976,5302000,"5M+ populations",6.1,315.4,7.1,23.2,128.8,156.3
"Iowa","IA",1976,2870000,"1M-5M populations",4.0,132.9,2.3,10.7,41.1,78.7
"Kansas","KS",1976,2310000,"1M-5M populations",4.2,282.6,4.5,21.9,85.8,170.4
"Kentucky","KY",1976,3428000,"1M-5M populations",5.4,262.2,10.6,17.8,98.7,135.1
"Louisiana","LA",1976,3841000,"1M-5M populations",6.7,472.8,13.2,26.8,124.3,308.5
"Maine","ME",1976,1070000,"1M-5M populations",8.7,220.0,2.7,9.9,37.9,169.4
"Maryland","MD",1976,4144000,"1M-5M populations",6.6,633.4,8.5,32.0,295.5,297.4
"Massachusetts","MA",1976,5809000,"5M+ populations",9.6,399.2,3.3,17.7,180.2,198.0
"Michigan","MI",1976,9104000,"5M+ populations",9.4,646.0,11.1,36.1,332.6,266.1
"Minnesota","MN",1976,3965000,"1M-5M populations",5.8,189.0,2.3,18.3,80.4,87.9
"Mississippi","MS",1976,2354000,"1M-5M populations",6.6,295.4,12.5,16.3,64.1,202.5
"Missouri","MO",1976,4778000,"1M-5M populations",6.2,449.4,9.3,27.1,204.1,208.9
"Montana","MT",1976,753000,"1M- populations",6.0,180.3,5.0,13.5,35.6,126.2
"Nebraska","NE",1976,1553000,"1M-5M populations",3.2,210.5,2.9,20.5,63.0,124.1
"Nevada","NV",1976,610000,"1M- populations",8.8,691.0,11.5,47.2,294.9,337.4
"New Hampshire","NH",1976,822000,"1M- populations",6.5,86.3,3.3,9.7,24.8,48.4
"New Jersey","NJ",1976,7336000,"5M+ populations",10.4,396.8,5.2,19.9,200.3,171.4
"New Mexico","NM",1976,1168000,"1M-5M populations",8.9,554.4,9.7,41.0,124.7,378.9
"New York","NY",1976,18084000,"10M + populations",10.2,868.1,10.9,25.8,529.3,302.1
"North Carolina","NC",1976,5469000,"5M+ populations",6.3,403.4,11.1,15.3,70.6,306.4
"North Dakota","ND",1976,643000,"1M- populations",3.7,71.9,1.4,5.6,16.2,48.7
"Ohio","OH",1976,10690000,"10M + populations",7.8,388.7,7.4,25.8,183.8,171.7
"Oklahoma","OK",1976,2766000,"1M-5M populations",5.7,286.6,6.4,27.0,70.3,182.8
"Oregon","OR",1976,2329000,"1M-5M populations",9.4,457.4,4.2,35.6,132.7,285.0
"Pennsylvania","PA",1976,11862000,"10M + populations",8.0,294.9,6.1,18.1,138.0,132.8
"Rhode Island","RI",1976,927000,"1M- populations",8.2,299.8,2.4,8.5,91.0,197.8
"South Carolina","SC",1976,2848000,"1M-5M populations",7.2,599.2,11.6,31.9,105.7,450.0
"South Dakota","SD",1976,686000,"1M- populations",3.3,186.2,1.7,15.3,23.2,145.9
"Tennessee","TN",1976,4214000,"1M-5M populations",6.1,393.3,11.0,25.4,147.5,209.4
"Texas","TX",1976,12487000,"10M + populations",5.8,355.7,12.2,29.4,139.0,175.3
"Utah","UT",1976,1228000,"1M-5M populations",5.6,220.6,4.5,20.9,69.4,125.8
"Vermont","VT",1976,476000,"1M- populations",8.3,118.3,5.5,14.9,17.9,80.0
"Virginia","VA",1976,5032000,"5M+ populations",5.9,307.7,9.5,22.2,108.2,167.9
"Washington","WA",1976,3612000,"1M-5M populations",8.9,388.6,4.3,34.3,119.5,230.5
"West Virginia","WV",1976,1821000,"1M-5M populations",7.3,151.6,6.7,10.3,38.0,96.6
"Wisconsin","WI",1976,4609000,"1M-5M populations",5.5,137.7,3.0,11.8,59.3,63.5
"Wyoming","WY",1976,390000,"1M- populations",4.0,218.2,6.9,24.9,29.2,157.2
"Alabama","AL",1977,3690000,"1M-5M populations",7.3,414.4,14.2,25.2,96.8,278.3
"Alaska","AK",1977,407000,"1M- populations",9.9,443.2,10.8,51.6,96.8,284.0
"Arizona","AZ",1977,2296000,"1M-5M populations",8.2,494.2,9.5,34.2,138.2,312.3
"Arkansas","AR",1977,2144000,"1M-5M populations",6.5,322.9,8.8,27.6,83.2,203.4
"California","CA",1977,21896000,"10M + populations",8.3,706.0,11.5,49.4,287.0,358.0
"Colorado","CO",1977,2619000,"1M-5M populations",6.4,511.9,6.3,42.0,170.7,292.9
"Connecticut","CT",1977,3108000,"1M-5M populations",7.0,282.3,4.2,16.8,129.5,131.8
"Delaware","DE",1977,582000,"1M- populations",8.5,382.1,6.0,24.9,157.0,194.2
"District of Columbia","DC",1977,690000,"1M- populations",9.2,1426.5,27.8,58.3,964.5,375.9
"Florida","FL",1977,8452000,"5M+ populations",8.2,686.8,10.2,39.6,187.9,449.1
"Georgia","GA",1977,5048000,"5M+ populations",6.9,439.8,11.7,31.1,140.5,256.5
"Hawaii","HI",1977,895000,"1M- populations",7.9,224.8,7.2,25.5,128.0,64.1
"Idaho","ID",1977,857000,"1M- populations",5.8,236.9,5.5,19.4,39.6,172.5
"Illinois","IL",1977,11245000,"10M + populations",6.2,630.6,9.9,26.1,280.3,314.3
"Indiana","IN",1977,5330000,"5M+ populations",5.8,310.6,7.4,26.5,123.2,153.5
"Iowa","IA",1977,2879000,"1M-5M populations",3.9,144.0,2.3,10.6,41.2,89.8
"Kansas","KS",1977,2326000,"1M-5M populations",3.9,309.8,6.6,22.0,100.7,180.5
"Kentucky","KY",1977,3458000,"1M-5M populations",4.8,233.6,10.1,19.1,81.1,123.3
"Louisiana","LA",1977,3921000,"1M-5M populations",7.1,524.8,15.5,30.9,142.9,335.5
"Maine","ME",1977,1085000,"1M-5M populations",8.3,224.7,2.4,13.5,38.7,170.0
"Maryland","MD",1977,4139000,"1M-5M populations",6.3,693.8,8.0,34.8,292.1,358.9
"Massachusetts","MA",1977,5782000,"5M+ populations",7.8,425.3,3.1,20.8,169.9,231.6
"Michigan","MI",1977,9129000,"5M+ populations",8.2,584.7,9.3,38.9,261.9,274.6
"Minnesota","MN",1977,3975000,"1M-5M populations",5.3,193.8,2.7,19.5,85.9,85.8
"Mississippi","MS",1977,2389000,"1M-5M populations",7.3,288.7,14.3,19.6,65.7,189.1
