State,Year,Rate
Alabama,1976,6.8
Alaska,1976,7.6
Arizona,1976,9.7
Arkansas,1976,7.0
California,1976,9.1
Colorado,1976,5.8
Connecticut,1976,9.3
Delaware,1976,8.8
District of Columbia,1976,9.0
Florida,1976,9.2
Georgia,1976,8.2
Hawaii,1976,9.4
Idaho,1976,5.6
Illinois,1976,6.6
Indiana,1976,6.1
Iowa,1976,4.0
Kansas,1976,4.2
Kentucky,1976,5.4
Louisiana,1976,6.7
Maine,1976,8.7
Maryland,1976,6.6
Massachusetts,1976,9.6
Michigan,1976,9.4
Minnesota,1976,5.8
Mississippi,1976,6.6
Missouri,1976,6.2
Montana,1976,6.0
Nebraska,1976,3.2
Nevada,1976,8.8
New Hampshire,1976,6.5
New Jersey,1976,10.4
New Mexico,1976,8.9
New York,1976,10.2
North Carolina,1976,6.3
North Dakota,1976,3.7
Ohio,1976,7.8
Oklahoma,1976,5.7
Oregon,1976,9.4
Pennsylvania,1976,8.0
Rhode Island,1976,8.2
South Carolina,1976,7.2
South Dakota,1976,3.3
Tennessee,1976,6.1
Texas,1976,5.8
Utah,1976,5.6
Vermont,1976,8.3
Virginia,1976,5.9
Washington,1976,8.9
West Virginia,1976,7.3
Wisconsin,1976,5.5
Wyoming,1976,4.0
Alabama,1977,7.3
Alaska,1977,9.9
Arizona,1977,8.2
Arkansas,1977,6.5
California,1977,8.3
Colorado,1977,6.4
Connecticut,1977,7.0
Delaware,1977,8.5
District of Columbia,1977,9.2
Florida,1977,8.2
Georgia,1977,6.9
Hawaii,1977,7.9
Idaho,1977,5.8
Illinois,1977,6.2
Indiana,1977,5.8
Iowa,1977,3.9
Kansas,1977,3.9
Kentucky,1977,4.8
Louisiana,1977,7.1
Maine,1977,8.3
Maryland,1977,6.3
Massachusetts,1977,7.8
Michigan,1977,8.2
Minnesota,1977,5.3
Mississippi,1977,7.3
Missouri,1977,6.0
Montana,1977,6.3
Nebraska,1977,3.4
Nevada,1977,6.7
New Hampshire,1977,5.4
New Jersey,1977,9.4
New Mexico,1977,7.6
New York,1977,9.1
North Carolina,1977,5.9
North Dakota,1977,4.5
Ohio,1977,6.5
Oklahoma,1977,4.9
Oregon,1977,7.4
Pennsylvania,1977,7.7
Rhode Island,1977,8.0
South Carolina,1977,6.9
South Dakota,1977,3.3
Tennessee,1977,6.2
Texas,1977,5.3
Utah,1977,5.1
Vermont,1977,7.0
Virginia,1977,5.5
Washington,1977,8.5
West Virginia,1977,6.9
Wisconsin,1977,5.1
Wyoming,1977,3.4
Alabama,1978,6.4
Alaska,1978,10.6
Arizona,1978,6.0
Arkansas,1978,6.2
California,1978,7.2
Colorado,1978,5.5
Connecticut,1978,5.2
Delaware,1978,7.4
District of Columbia,1978,8.3
Florida,1978,6.7
Georgia,1978,5.7
Hawaii,1978,7.1
Idaho,1978,5.4
Illinois,1978,6.0
Indiana,1978,5.6
Iowa,1978,3.9
Kansas,1978,3.1
Kentucky,1978,5.1
Louisiana,1978,6.8
Maine,1978,6.4
Maryland,1978,5.5
Massachusetts,1978,6.2
Michigan,1978,7.0
Minnesota,1978,3.9
Mississippi,1978,6.9
Missouri,1978,4.9
Montana,1978,5.7
Nebraska,1978,3.1
Nevada,1978,4.5
New Hampshire,1978,3.8
New Jersey,1978,7.3
New Mexico,1978,5.9
New York,1978,7.8
North Carolina,1978,4.5
North Dakota,1978,4.3
Ohio,1978,5.5
Oklahoma,1978,3.6
Oregon,1978,6.0
Pennsylvania,1978,6.9
Rhode Island,1978,6.6
South Carolina,1978,5.7
South Dakota,1978,3.1
Tennessee,1978,5.8
Texas,1978,4.8
Utah,1978,3.8
Vermont,1978,5.6
Virginia,1978,5.3
Washington,1978,6.9
West Virginia,1978,6.2
Wisconsin,1978,5.0
Wyoming,1978,3.0
Alabama,1979,7.2
Alaska,1979,9.3
Arizona,1979,5.1
Arkansas,1979,6.2
California,1979,6.2
Colorado,1979,4.7
Connecticut,1979,5.1
Delaware,1979,7.2
District of Columbia,1979,7.0
Florida,1979,5.9
Georgia,1979,5.1
Hawaii,1979,6.1
Idaho,1979,5.8
Illinois,1979,5.5
Indiana,1979,6.5
Iowa,1979,4.2
Kansas,1979,3.2
Kentucky,1979,5.5
Louisiana,1979,6.6
Maine,1979,6.8
Maryland,1979,5.8
Massachusetts,1979,5.5
Michigan,1979,7.8
Minnesota,1979,4.2
Mississippi,1979,5.7
Missouri,1979,4.8
Montana,1979,5.2
Nebraska,1979,3.0
Nevada,1979,4.9
New Hampshire,1979,3.2
New Jersey,1979,6.9
New Mexico,1979,6.4
New York,1979,7.2
